Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099977	2.171000	48.954000	63.823000	2.496000	45.523000	51.945000	
1.000000	0.099906	1.843000	65.830000	76.832000	2.270000	47.360000	56.078000	
2.000000	0.099789	1.748000	72.025000	81.057000	2.173000	50.317000	61.143000	
3.000000	0.099625	1.680000	74.576000	83.021000	2.070000	56.233000	67.058000	
4.000000	0.099415	1.642000	76.909000	84.629000	2.142000	57.374000	64.627000	
5.000000	0.099159	1.610000	78.715000	85.973000	2.173000	56.658000	64.141000	
6.000000	0.098856	1.597000	79.399000	86.258000	1.988000	60.897000	70.057000	
7.000000	0.098508	1.584000	80.744000	87.184000	2.110000	60.129000	66.207000	
8.000000	0.098114	1.566000	81.812000	87.775000	2.150000	51.159000	62.520000	
9.000000	0.097675	1.557000	81.908000	88.162000	2.107000	57.422000	65.316000	
10.000000	0.097192	1.550000	82.435000	88.325000	2.062000	58.969000	64.911000	
11.000000	0.096664	1.544000	82.303000	88.559000	2.007000	62.149000	71.313000	
12.000000	0.096093	1.534000	83.493000	88.996000	2.029000	62.575000	70.462000	
13.000000	0.095479	1.526000	83.724000	89.292000	2.088000	60.065000	66.329000	
14.000000	0.094823	1.525000	83.729000	89.312000	2.021000	60.574000	68.233000	
15.000000	0.094125	1.507000	84.925000	90.157000	1.943000	64.955000	72.934000	
16.000000	0.093385	1.512000	84.896000	89.984000	2.043000	63.893000	69.003000	
17.000000	0.092606	1.505000	85.272000	90.075000	1.994000	60.530000	69.935000	
18.000000	0.091786	1.511000	84.259000	89.638000	2.038000	62.731000	67.828000	
19.000000	0.090928	1.498000	85.608000	90.360000	1.985000	63.837000	70.867000	
20.000000	0.090032	1.499000	85.214000	90.269000	2.040000	62.818000	68.963000	
21.000000	0.089099	1.494000	85.981000	90.706000	2.059000	61.715000	67.626000	
22.000000	0.088130	1.497000	85.329000	90.391000	2.020000	62.445000	68.760000	
