Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099977	2.197000	49.627000	64.373000	2.492000	43.310000	53.768000	
1.000000	0.099906	1.858000	66.204000	77.219000	2.394000	47.367000	57.536000	
2.000000	0.099789	1.758000	71.710000	80.761000	2.368000	46.651000	54.781000	
3.000000	0.099625	1.702000	74.025000	82.594000	2.168000	56.005000	65.478000	
4.000000	0.099415	1.653000	76.843000	84.711000	2.175000	54.370000	62.763000	
5.000000	0.099159	1.624000	78.238000	85.698000	2.292000	51.795000	58.225000	
6.000000	0.098856	1.607000	79.061000	86.024000	2.037000	55.052000	65.681000	
7.000000	0.098508	1.582000	80.601000	87.246000	2.120000	56.774000	62.480000	
8.000000	0.098114	1.575000	80.962000	87.419000	1.998000	59.962000	69.125000	
9.000000	0.097675	1.568000	81.911000	87.887000	1.894000	66.143000	74.676000	
10.000000	0.097192	1.551000	82.500000	88.396000	2.229000	58.665000	61.629000	
11.000000	0.096664	1.550000	82.793000	88.457000	2.139000	55.005000	63.412000	
12.000000	0.096093	1.539000	83.128000	88.864000	2.064000	59.395000	66.005000	
13.000000	0.095479	1.531000	83.683000	89.312000	1.929000	63.447000	72.123000	
14.000000	0.094823	1.521000	84.240000	89.526000	2.098000	57.374000	64.911000	
15.000000	0.094125	1.517000	84.985000	90.004000	1.910000	64.014000	72.650000	
16.000000	0.093385	1.517000	84.607000	89.821000	2.016000	63.644000	70.340000	
17.000000	0.092606	1.510000	84.918000	90.065000	2.075000	62.713000	67.909000	
18.000000	0.091786	1.503000	85.327000	90.320000	2.260000	54.263000	58.144000	
19.000000	0.090928	1.506000	85.325000	90.218000	1.934000	62.483000	71.556000	
20.000000	0.090032	1.500000	85.302000	90.391000	1.990000	64.092000	69.449000	
21.000000	0.089099	1.490000	86.251000	90.849000	1.943000	66.349000	72.528000	
22.000000	0.088130	1.496000	86.128000	90.656000	2.068000	57.447000	63.898000	
23.000000	0.087126	1.487000	86.636000	91.144000	1.915000	64.383000	72.447000	
24.000000	0.086088	1.486000	86.121000	90.727000	2.007000	61.497000	68.233000	
25.000000	0.085016	1.485000	86.524000	90.869000	2.071000	58.112000	65.883000	
26.000000	0.083912	1.476000	87.354000	91.551000	2.028000	64.583000	69.935000	
27.000000	0.082778	1.476000	87.107000	91.409000	1.902000	68.585000	73.501000	
28.000000	0.081613	1.466000	87.769000	92.020000	2.019000	62.744000	68.395000	
29.000000	0.080420	1.466000	88.078000	92.081000	2.082000	60.074000	65.883000	
30.000000	0.079199	1.457000	88.370000	92.355000	1.990000	65.579000	70.746000	
31.000000	0.077952	1.464000	87.871000	92.030000	1.830000	70.977000	77.796000	
32.000000	0.076679	1.456000	87.871000	91.989000	1.972000	64.444000	70.867000	
33.000000	0.075383	1.454000	88.349000	92.325000	1.990000	61.592000	71.029000	
34.000000	0.074065	1.444000	89.166000	92.824000	2.058000	63.238000	67.990000	
35.000000	0.072725	1.442000	89.420000	92.925000	2.070000	56.118000	64.708000	
36.000000	0.071365	1.444000	89.116000	92.671000	1.928000	65.240000	72.650000	
37.000000	0.069986	1.436000	89.282000	92.905000	2.067000	59.811000	66.410000	
38.000000	0.068590	1.432000	89.361000	93.149000	1.999000	62.031000	69.125000	
39.000000	0.067178	1.434000	89.954000	93.343000	1.995000	61.963000	69.206000	
40.000000	0.065752	1.425000	90.695000	93.740000	2.035000	59.842000	65.843000	
41.000000	0.064313	1.424000	90.247000	93.607000	1.896000	68.057000	75.284000	
42.000000	0.062862	1.419000	91.139000	94.035000	1.940000	67.658000	73.055000	
43.000000	0.061401	1.415000	91.070000	93.923000	1.967000	64.728000	70.705000	
44.000000	0.059931	1.420000	91.067000	94.116000	1.976000	63.287000	69.652000	
45.000000	0.058453	1.410000	91.051000	94.076000	1.907000	62.607000	71.110000	
46.000000	0.056970	1.405000	91.757000	94.524000	2.001000	65.660000	69.489000	
47.000000	0.055483	1.402000	91.843000	94.646000	1.987000	64.733000	70.300000	
48.000000	0.053992	1.402000	91.643000	94.503000	1.942000	64.181000	72.326000	
49.000000	0.052500	1.397000	92.562000	94.860000	1.860000	70.306000	76.864000	
50.000000	0.051008	1.393000	92.258000	94.890000	1.937000	64.797000	72.447000	
51.000000	0.049517	1.389000	92.370000	94.992000	1.937000	67.342000	72.245000	
52.000000	0.048030	1.388000	92.683000	95.165000	1.767000	72.134000	79.295000	
53.000000	0.046547	1.381000	92.983000	95.379000	1.887000	68.828000	75.486000	
54.000000	0.045069	1.375000	93.293000	95.592000	1.947000	66.869000	73.136000	
55.000000	0.043599	1.371000	93.507000	95.613000	1.845000	69.263000	77.796000	
56.000000	0.042138	1.371000	93.472000	95.664000	1.896000	67.519000	73.541000	
57.000000	0.040687	1.369000	93.735000	95.837000	1.977000	66.849000	72.204000	
58.000000	0.039248	1.361000	94.165000	96.030000	1.962000	68.188000	72.812000	
59.000000	0.037822	1.363000	94.191000	96.112000	1.912000	69.156000	74.919000	
60.000000	0.036410	1.358000	94.256000	96.173000	1.994000	65.110000	69.530000	
61.000000	0.035014	1.352000	94.487000	96.315000	1.892000	70.609000	75.891000	
62.000000	0.033635	1.351000	94.763000	96.468000	1.938000	70.543000	73.825000	
63.000000	0.032275	1.345000	94.934000	96.743000	2.033000	66.211000	69.003000	
64.000000	0.030935	1.344000	95.168000	96.783000	1.943000	67.209000	73.622000	
65.000000	0.029617	1.341000	95.306000	96.763000	1.818000	72.481000	78.849000	
66.000000	0.028321	1.340000	95.208000	96.916000	1.927000	68.506000	73.987000	
67.000000	0.027048	1.336000	95.546000	96.936000	1.943000	67.072000	74.230000	
68.000000	0.025801	1.330000	95.729000	97.221000	1.884000	70.430000	75.810000	
69.000000	0.024580	1.325000	96.042000	97.435000	1.893000	70.016000	75.486000	
70.000000	0.023387	1.325000	96.162000	97.526000	1.820000	71.782000	78.241000	
71.000000	0.022222	1.321000	96.178000	97.435000	1.866000	71.343000	76.985000	
72.000000	0.021088	1.318000	96.612000	97.740000	1.861000	73.416000	77.958000	
73.000000	0.019984	1.316000	96.394000	97.567000	1.912000	68.868000	74.473000	
74.000000	0.018912	1.312000	96.616000	97.791000	1.829000	71.353000	77.026000	
75.000000	0.017874	1.311000	96.882000	97.934000	1.946000	67.676000	73.947000	
76.000000	0.016870	1.308000	96.979000	98.035000	1.861000	69.782000	76.661000	
