Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099977	2.570000	32.516000	51.059000	2.110000	51.177000	64.263000	
1.000000	0.099906	2.226000	46.447000	62.805000	1.984000	58.858000	72.407000	
2.000000	0.099789	2.117000	52.414000	67.814000	1.890000	60.627000	74.230000	
3.000000	0.099625	2.049000	57.523000	71.274000	1.839000	65.610000	76.823000	
4.000000	0.099415	2.010000	59.376000	72.506000	1.851000	64.760000	76.661000	
5.000000	0.099159	1.979000	60.961000	74.257000	1.787000	67.403000	79.417000	
6.000000	0.098856	1.955000	62.123000	74.949000	1.764000	68.413000	79.335000	
7.000000	0.098508	1.931000	63.122000	75.519000	1.802000	67.362000	77.958000	
8.000000	0.098114	1.921000	64.478000	76.333000	1.756000	72.101000	81.605000	
9.000000	0.097675	1.902000	65.586000	77.280000	1.759000	69.777000	80.470000	
10.000000	0.097192	1.901000	65.755000	77.107000	1.745000	71.769000	81.118000	
11.000000	0.096664	1.880000	66.362000	77.982000	1.744000	72.785000	81.118000	
12.000000	0.096093	1.872000	67.122000	78.268000	1.723000	72.987000	82.253000	
13.000000	0.095479	1.865000	68.444000	79.112000	1.724000	74.016000	82.050000	
14.000000	0.094823	1.856000	68.494000	79.143000	1.752000	72.105000	80.997000	
15.000000	0.094125	1.850000	68.818000	79.458000	1.705000	74.978000	83.428000	
16.000000	0.093385	1.835000	69.954000	80.354000	1.711000	72.061000	82.050000	
17.000000	0.092606	1.838000	69.089000	79.642000	1.744000	72.608000	81.199000	
18.000000	0.091786	1.826000	69.708000	80.110000	1.722000	73.846000	81.686000	
19.000000	0.090928	1.833000	69.666000	80.100000	1.729000	73.186000	81.199000	
20.000000	0.090032	1.821000	70.284000	80.629000	1.695000	75.320000	83.104000	
21.000000	0.089099	1.821000	70.300000	80.425000	1.708000	74.274000	82.091000	
22.000000	0.088130	1.825000	70.243000	80.446000	1.695000	75.095000	83.104000	
23.000000	0.087126	1.815000	70.428000	80.700000	1.721000	74.874000	82.253000	
24.000000	0.086088	1.804000	71.788000	81.057000	1.698000	74.258000	82.780000	
25.000000	0.085016	1.802000	71.707000	81.260000	1.693000	74.841000	82.901000	
26.000000	0.083912	1.788000	72.604000	81.963000	1.690000	74.595000	83.225000	
27.000000	0.082778	1.795000	72.743000	82.146000	1.708000	74.283000	82.982000	
28.000000	0.081613	1.796000	71.991000	81.586000	1.684000	75.169000	83.671000	
29.000000	0.080420	1.784000	72.784000	82.075000	1.689000	73.949000	82.780000	
30.000000	0.079199	1.781000	72.850000	82.115000	1.682000	74.585000	83.509000	
